from,to
ZNF281,NF1
EN1,PRR19
GATA,ADORA3
DBP,CEP63
ERG,DBR1
TCF12,MEIS2
POU2F3,MAPK1IP1L
NFIB,SLITRK2
FOXJ1,XPOT
EGR1,TERF2IP
RUNX1,HS3ST4
HIC1,SLC27A2
POU3F1,NDUFC2
SPI1,EXOC6
EGR3,RYR2
MAF,CISD2
ELF4,PMM2
ELK1,LRRC49
ZNF219,CACNA1E
MLX,SAE1
TCF7,PRR15L
MGA,MED12L
NFYA,PASK
IRF,ARX
CREB,IKBKAP
PROP1,SPTLC2
HNF4A,SMOX
EGR1,NDFIP2
NHLH1,ABI3
USF,CPVL
NHLH1,SAMD8
USF,WBP2NL
MYC,PAICS
KLF7,MDK
EGR,C6ORF165
GABPA,ZKSCAN3
LMX1B,VANGL2
SP1,KIAA0513
ERF,EEF1B2
ELF5,MIF
KLF7,ISCA2
AR,SPTB
HOXB9,IDS
HNF4,DNAJC13
GSX2,DUSP7
PROP1,CORT
ETV3,IGF2BP2
EGR1,IGSF9B
RREB1,BHLHB9
MYEF2,FAM129B
SP4,IFNGR1
ERF,CDC27
GATA1,NRP2
RARA,ATXN7L3
ZEB1,NRK
HESX1,PPM1K
LHX6,AMIGO3
CREB5,ZNF426
NR2F6,RNF220
RFX2,PPP1R42
SP8,DLG3
ELK1,SPHKAP
SHOX2,ASCC1
POU5F1,EXOC1
SOX2,SLC1A2
FOXD2,ZNF292
NRF1,SENP1
ETV7,PHF23
KLF16,BAI2
GABP,CDK5RAP3
SP1,TIPARP
LHX6,CDK6
OTX,PLCL2
FOXC2,DLG2
BATF3,ARG2
SP1,POP7
ZNF281,OLIG3
KLF7,MRPS9
ZNF219,AHNAK
SP1,COL21A1
MSX2,WRN
NFYA,CWC25
HF1H3B,GABRB2
STAT,RAPH1
NR5A1,CELF2
NKX6-1,CRH
ZNF219,RANBP17
ETV1,SH3GL1
VSX1,PCYT1A
NFKB2,TNFRSF9
FOXD1,MARCH10
REL,TMEM190
EGR3,SORBS1
MEF2A,KIAA1586
SP4,FAM213A
SPI1,BACH2
ETV2,WDR35
CACBP,FOXN3
TFAP2A,C14orf159
RFX5,KDELR3
SP4,CHCHD6
KLF16,PRPF38A
ZNF281,YPEL3
SP1,CTRB1
HOXC8,ANP32B
ALX4,LOXHD1
FOXO1,SERPIND1
EGR1,PRSS12
RFX5,ZNF358
NR4A2,STAT5A
ETV3,NSUN3
BACH2,CD47
EGR,CAMLG
SPIB,ZDHHC9
E2F3,PFDN4
ZNF75A,NFIB
HF1H3B,AGRN
KLF14,RALGPS1
ZIC1,TDRKH
EGR,HBEGF
JDP2,DYNC1H1
TBP,RRAGC
RHOXF1,SDAD1
RELA,C8orf46
TCF3,MEST
FOXJ2,IWS1
SP8,PRDX3
ELF1,PDGFRB
RFX4,TMED8
SOX14,ATP10B
NKX2-4,ATG14
TFE3,CBX6
SCRT2,HS3ST3B1
SPIB,ID3
TCF3,MGAT5
FOXD3,GRAP2
BARX1,CWC15
GATA,HAUS6
KLF7,ATRN
PKNOX2,C14orf119
KLF16,KCNA2
CPEB1,FAM117A
CLOCK,IGF2BP3
TFAP2C,RUNX1T1
EGR1,ATP7B
EN2,NUCB2
HSF4,SELK
MAF,CYP46A1
KLF7,SS18L2
HAND1,IGF2BP3
ELF1,GK
RFX4,SIDT1
HOXA9,LPAR3
HSF1,PCDHA13
JDP2,DTL
PKNOX1,TSHZ1
ELK1,ZFYVE16
T,SSBP3
RFX5,GRIK5
SP1,CHRM2
ELK3,CDC27
CEBPG,TM9SF4
SP3,DGKZ
CEBP,KDM6A
FOXI1,KLF12
PITX3,SLC38A5
GTF2I,PLXNA4
LMX1A,HLA-DPA1
FEV,STOML2
HOXA5,SERPINB10
RHOXF1,ANXA1
