from,to
BARHL1,ANP32B
RHOXF2,AZIN1
NR2F6,ACO2
RXRB,ATP6V1B2
SOX1,FAM171A1
KLF12,MED17
KLF14,RUSC1
HIC1,CDH20
USF,EEF2K
RELA,MAMLD1
HOXB8,PORCN
EVX1,B3GNTL1
NKX2-4,IL1RAP
EGR2,THBS1
ATF1,CHGA
TFEB,GRID1
KLF16,JADE1
MSX1,NHLH2
ETV3,ZNF22
PATZ1,NES
EGR1,TUBB2A
GTF2I,TGFB3
CREB1,DNAJA1
SP3,PPP1R3D
KLF4,EDC3
KLF4,UGT8
NFY,RNF7
SP1,DCAF17
NKX6-1,PLA2G7
EBF1,TBCCD1
NFYA,CDC23
ELK4,ZNF696
AP1,S100A2
DMRT3,UBE2I
UNCX,CCDC103
E2F3,PGGT1B
NR1H,UBE2F
KLF14,FPGT-TNNI3K
FOXC1,BDNF
SP3,NWD1
NRF1,ACTR5
SOX8,RNASE4
NKX3-1,LPHN2
ARNT,LRRC55
EGR2,EMC9
KLF14,EDEM1
ALX1,ZNRF2
LMO2,AATK
ELK4,JUN
TCF7,IL1RAP
NFY,HES6
GABP,TTK
POU2F1,PTCHD2
SP1,CYBRD1
SPI1,RGS13
FEV,TIPIN
NFY,SLC39A11
RORA,DLGAP4
ETS,ORC4
HSF1,MAST4
HESX1,IKZF2
PGR,SCRN1
TCF3,CNTN1
RARG,NTM
ERF,BUD13
ZNF281,VCAN
BARHL2,MCC
ELF5,BLOC1S3
ATF1,C17orf96
KLF16,L3MBTL1
POU3F3,CTNNB1
IRF3,ANKRD28
ELF4,RPL19
IRF,BOC
RFX3,PASK
ERG,POMGNT1
HOXC13,HOXA7
STAT1,TMEM222
TFAP2C,TCF4
POU,LCLAT1
HEY2,ST6GALNAC3
NKX6-1,SLC38A5
KLF12,ACADSB
ETS1,SPI1
HOXC4,SLMO2
ESRRB,CGA
MAFB,POLR2A
NRF1,TULP3
STAT,NPB
GABPA,RAB5C
NFKB,CNN3
HOXC8,PHC3
NFE2,ERI2
PAX6,DTX1
ELK4,PGC
NR4A2,RNF216
HOXA9,SALL4
RELA,LAMTOR3
SP8,RAP1A
PRRX2,MORC4
JDP2,BEST1
MYC,ASPSCR1
HOXD13,RAB6B
RELA,FAM198B
FOXA,ALS2CR12
PHOX2B,DCX
RFX7,RRP12
CTCF,TMEM230
ELF2,LDOC1
ELF1,CHUK
SP3,TBC1D10B
TBX21,SVIL
RFX1,MTA2
MEF2D,CLVS1
POU3F1,DRAM1
HOXD3,PSD2
ARX,DAB1
KLF7,ATF7IP
STAT5A,GDE1
NHLH1,NKX2-2
EGR1,MTMR12
MNX1,LPAR1
CREB5,C9orf3
SP1,C14orf23
POU4F1,JARID2
HNF4A,TAOK3
TFCP2L1,CRYBA2
MEIS3,SESN1
ELK1,CHCHD4
ELF5,RPS6KC1
MGA,ERG
HNF1,KCNJ15
KLF7,KAT8
POU6F2,RNF19A
RARA,RALGAPA2
RFX1,PFDN1
NRF1,POLR2B
MAX,KCNQ4
MEF2D,SLC2A11
ID4,GATAD2A
MEF2D,UBE2J1
ERF,SARNP
ELK3,TRIM41
EVX2,HHIPL1
SPIC,STX5
ZBTB14,MTSS1
HOXD3,LRIG2
POU2F2,SLC4A4
PAX1,CERCAM
TFAP2A,SLC6A19
ESRRB,ZFAND5
ELK3,WDR5B
ZNF740,SHANK3
ETV4,AZI2
ZBTB18,CXXC5
POU2F1,CRYAB
ELF2,PFN1
REL,HS3ST3B1
ELF1,TXN2
NRF1,GIT2
DLX1,HAAO
POU3F2,NRARP
FOXJ3,TMEM232
CRX,PDE6H
POU,GALNT12
POU5F1,MGAT4C
CREB1,NIT1
PATZ1,STARD8
TEAD4,PHC2
IRX2,LRIT3
HBP1,DCLK2
ZNF524,PTPRS
ZEB1,FAM65B
LBX2,ALDH16A1
HOXD11,TCF4
ELK1,APLP2
ZBTB14,INPP5F
ETV6,EXOSC5
NFYA,MIS12
BACH1,TBC1D25
SOX2,GPR22
BACH2,PLEKHO1
SP8,CLK4
NFY,ZNF555
FOXA2,C11orf87
FOXD3,CELF2
LHX5,ADAM19
CPEB1,PHACTR3
EGR1,SPTBN4
ESX1,CCDC80
SP1,FKBP15
OBOX2,ITGAV
EGR4,H2AFY2
POU4F2,HLA-C
KLF12,RAB39A
HSF1,PTHLH
HOXC5,C20orf112
TFAP2A,MTMR9
SP1,FARP1
RFX2,CCDC37
POU3F2,C14orf178
EGR2,ITGB8
MYB,AHCYL2
SOX10,ANK3
FOXL1,SLC7A6
KLF7,GCSH
ITGB2,PSG3
ERF,ARHGAP9
TFAP2C,PICALM
BATF3,ERLIN2
ATF6,ALX3
NKX2-8,DGKB
EGR2,C19orf43
AP1,C11orf70
HOXD3,CCDC65
ESRRA,CDKN2AIPNL
POU6F2,FREM1
TFAP2B,GLRA2
PPARG,FXYD1
FLI1,SLC35C2
KLF16,RAB8B
KLF14,MDK
RFX5,PNMA1
TGIF2,OPCML
ZNF219,SCRT2
NFE2L2,IQSEC2
CPEB1,PPA2
RARG,PANK2
POU2F3,PHF21B
ETS1,PYROXD1
KLF4,SUV420H2
FOXD2,KLHL41
KLF12,NRSN1
GBX1,KCNJ2
SP8,EFHC1
RARA,C8orf4
ESR1,SEC24D
MESP1,PRIM1
RFX2,CTNND2
TEAD1,HOMER1
FLI1,SETD6
E2F2,C6orf211
CUX1,DIO2
SPI1,OTUD1
CREB1,DCUN1D3
EGR,TFAP4
KLF7,ACAP2
ALX1,IRX4
WT1,ZIC2
ELF5,ZNF266
RORA,CIAPIN1
PITX3,ATP5E
ITGB2,CTSE
ERG,DLX1
ZNF628,PDE4D
KLF7,NUSAP1
NFY,TMEM260
KLF7,FNBP1L
MYOD1,NAV2
EGR,C9orf129
KLF16,PCLO
ETS1,MEIS2
PDX1,SNX6
CREB1,GALNT11
EGR2,MED12L
BSX,UBE2D1
CPEB1,MMP2
PRDM1,MAZ
EGR,RAB15
FOXD1,FBXO16
ELF1,MAD2L1BP
KLF13,CCHCR1
ALX1,WRN
TCF3,NEIL1
ZNF143,CDK19
GSX2,AADAC
SP1,TBC1D25
ESRRB,FHL2
ETV1,SHC1
EBOX,MEGF9
ESRRA,LIMCH1
RFX4,PEX5
MLX,HNRNPH3
ETV4,LRRC41
ARNTL,LACTB2
BBX,PRDM2
ETV6,SLC16A3
POU2F1,RCC2
TCF3,RAB30
NFIC,PAF1
BARHL1,GAS7
KLF7,PPP3CA
TCF4,PXDN
KLF14,IL1RAP
OBOX5,RALYL
RHOXF1,CEP97
NKX6-1,VIM
SP1,JAG2
KLF14,TMED7
NFYA,KCNJ13
PROP1,MYB
UNCX,PSME4
GABPA,NUP155
JDP2,C9orf3
ETS,PIK3R1
SP1,GRM2
HOXD13,FRYL
OLIG3,C10orf25
BHLHE41,TCEAL1
SREBF2,GLA
SP4,GDF11
ETS1,STRA6
FEV,ARPP21
TFAP4,ZNF777
HSF1,PLD5
POU1F1,TNRC6B
SP3,CTNNB1
RARA,ESRRG
POU2F3,INADL
USF1,UBN1
CREB,PSENEN
RUNX1,ADCY5
ZSCAN4,LSM5
GRHL1,HEATR6
KLF16,RP11-1407O15.2
SPI1,DUSP19
SP1,PIK3C2A
IRF,SPEF1
GABPA,SLC25A17
REST,BCAR1
USF,FJX1
TCF7L2,ZNF577
E2F1,COBLL1
BACH1,TCP11L2
CEBP,CPNE6
SOX4,EIF4G2
HOXC4,KIAA0586
HDX,PCSK1N
TEAD1,SYTL2
ZNF219,SYNE1
POU,CENPT
DLX3,CNIH3
CTCF,ZNF853
ETV3,NSMCE1
PRRX2,PHF19
SP3,PIGW
ESRRB,FOXK2
TFAP2C,GOLGA7B
MYOD1,TOB1
OTX2,ARL6IP1
CACD,ERI2
NFYA,HLA-DRB5
YY1,ERH
RARG,LRRC1
RFX1,PNKP
POU6F2,MRPS22
RARG,RBPMS2
MAFK,ANXA1
TFAP4,CTRB2
HSF4,MARK3
OTX1,TMCC2
ZBTB6,WFDC8
SPI1,PPP2R1A
POU6F2,STC1
SP4,FGFR1OP2
ESR1,FGF1
NR2C2,SHC1
SP1,GRAMD1A
MAF,PLEKHG1
KLF16,FHL3
SP4,AHNAK
ATF1,LBH
NRL,TES
NFY,MCM6
IRF2,MRVI1
TGIF1,MYCBP2
EHF,NOSTRIN
KLF14,MXD1
MZF1,ADAMTS8
ELF4,LYPLA1
PRDM1,MUC15
MAFG,PDE4D
LHX1,CYCS
IRF,FUBP1
RARG,DSCAML1
TCF7,MT2A
USF1,NFX1
GABPA,APMAP
ISL2,HUWE1
ZSCAN16,C1orf189
KLF14,FAM107B
KLF4,INSM2
TFEB,FAM21A
HF1H3B,ANAPC13
RXRB,RAB4A
LMX1A,SRP54
FOXC2,SORBS2
SP1,MFSD12
HOXB13,BAZ1A
RFX5,MAP4
SOX17,EPB41L3
LHX8,MRPL24
YY2,RBM19
MEIS2,FLOT1
HNF4A,VWA5A
EGR,PAQR3
SP3,WBP1L
FOX,SLC11A2
ESRRG,SNN
VDR,AMER3
ZIC1,TMCC1
RREB1,CAMK2N2
ZNF691,NXPH1
GBX2,FXYD6-FXYD2
ARX,BRD8
NFE2L1,C2orf80
NR1H,SSTR3
NRF1,TUBG2
NFY,ELAVL2
FOXD2,EIF4G3
HF1H3B,SSTR2
SREBF1,PHYHIP
MYBL2,GPR19
E2F2,C5orf54
ATF1,SKP1
LEF1,UPF1
GABPA,ZNF610
ESRRA,CLDN18
TCF7L2,SLC2A12
EGR1,GFER
MAX,PMP22
ZIC3,CAMK2A
HNF1,PDE12
NRF1,EIF2D
NFIC,ADRBK1
IRF9,IL10RA
SP4,GCNT1
CREB3L2,YTHDF3
ETV1,CD72
MEF2D,ACTA1
NKX3-1,EDN1
USF,MAPRE2
PKNOX1,DNMT3B
SP1,NARS2
EMX2,TIMM9
SP4,ACOT11
RUNX3,FAM135B
SP4,RAD18
EGR,EPHA3
TFAP2A,CDH7
NKX6-1,PCDHGA7
ASCL2,ARHGEF9
ZFX,ACVRL1
HNF4A,GAD2
RFX2,SIK1
FOXA1,PAPPA
SOX8,CYP19A1
BACH2,ZNF428
SPI1,C16orf80
GLI,GTF2I
BARHL2,TNKS
HOXD9,BARHL2
MEF2A,GRAP2
SP1,MOXD1
SP8,VSNL1
MAFG,DNAH12
ETS1,CD72
FOXJ2,TMEM140
JDP2,TTLL11
NR2F6,FOSL1
CPHX,GALNT3
IRF,PELI1
DLX2,KLHDC8A
HOXA9,CD38
DPRX,CPEB4
HINFP,BARHL1
AP1,MADD
IRF1,MYCBP2
FOXC1,ARL14
KLF16,LPHN3
RHOXF1,ERGIC2
FOXJ3,FAM26F
AP1,HGF
KLF14,CC2D1B
HOXD9,HSD11B1
KLF7,CLIC5
NFYA,POLD4
KLF12,DDRGK1
HOXC5,GRWD1
ZNF281,ZNF428
TFEB,FAM83H
ELK1,ZNF544
NFY,CBLN1
NFY,CPS1
ETV7,LSM5
TEAD1,MNAT1
KLF14,EMG1
CTCF,TNKS1BP1
BATF3,MRGPRF
POU2F3,PCYT1A
ATF2,OPA3
FOXC1,ZUFSP
ATF2,CBX8
ASCL2,ST6GAL1
DUXA,DCUN1D1
KLF7,C19orf84
CDX1,LIF
RFX4,HYDIN
RFX5,PRR15L
NFY,GSPT1
FLI1,CD1B
PPARG,SMAD5
SPI1,S1PR1
EOMES,DUSP22
KLF12,STMN1
TFEC,HLF
E2F1,LIN28B
ESX1,TNFSF18
KLF14,IL11
ETV1,TFCP2
ESRRA,BAG6
SPIB,SMIM15
SPDEF,SLC25A46
ESX1,ZNF628
SP1,ZNF319
RARG,BRD7
SNAI2,MAP1B
RFX2,JUN
ERF,FAF2
FOXC1,ANXA1
HOXA13,PTCH1
HOXB4,TRDMT1
RARG,AP1B1
OBOX3,CCDC47
VAX1,SPP1
NFE2L2,NFKBIL1
WT1,VCAN
SP3,LYL1
SPI1,KRT31
CREB5,ZNF165
ELF5,SLC9A9
ATF7,NEK1
ETV3,BLZF1
POU5F1B,TOP1
ERF,COG8
MYOD1,CRYBB1
ETV4,CLDN7
FOXO1,WDR20
ERG,GABPB1
ATF7,ZNF266
SOX21,KIAA1024L
KLF16,DDX20
SPI1,LIN28B
PRDM1,NFIX
RFX4,RPL6
SP3,MKLN1
ETV6,MRM1
ZNF740,ATOH8
TGIF1,NTN3
SPIC,CRADD
KLF7,TMEM9
KLF12,PDLIM7
FOXA1,RPL30
ETV3,ZNF623
SP1,SPG7
ETV5,DPP8
GSX1,DLEU1
SPIC,ZNF408
ETS2,SEC24C
RFX7,PRR5
MIXL1,CDC23
KLF4,MRPL51
GABP,IL2RB
DLX1,TFEC
JDP2,RNF34
ETV4,RAD54L
EGR,TTC29
MAFB,TAF7
GSC2,NEGR1
HNF1,HTR2C
IKZF2,HSBP1
CREB3L2,ZC3H18
CEBP,CACNB4
HOXA4,CLDND1
HMX2,FNDC3A
ERF,VMP1
ASCL2,METTL18
SP1,CSRP2
PHOX2A,FDXACB1
ETS,CCT6B
TFAP4,RBPJ
TCF7,NPY2R
KLF4,PDGFRA
GATA,DHRS13
HNF4A,TEK
EBOX,RRAGB
ATF3,CMTR1
SP4,TTLL5
NFY,INTS7
TCF3,SERBP1
CREB,CRKL
HF1H3B,ELAVL3
ESR2,TMBIM1
HSF2,ENPP6
FOXO3,ARAP1
SP8,RNF19A
DBX2,CYCS
KLF7,HSPBP1
VSX2,SPAG6
FOXA1,CCR1
FOXO1,SLC25A12
IRF7,DLEU7
CEBPG,ATP8B2
TFEC,TRAPPC2L
EGR1,NUDT11
NFIA,LHX6
MEF2D,PID1
VSX1,SRGN
EGR1,SET
IRF6,TVP23A
USF,STAG3
RFX2,CCDC42B
RUNX1,DLGAP1
POU2F1,HTRA1
USF,TMEM258
RFX3,ATP1A3
SP1,TTC29
TEAD1,SNAI2
POU3F3,CANT1
SP8,MORN1
MIXL1,SPOCK2
NR5A1,PHACTR1
ELF5,ACOT8
SP8,HNRNPUL2
SOX9,RFX4
RUNX1,CGA
SOX11,FRMD4A
HIC1,RASGRF2
CREB1,ALDH4A1
RFX3,TNPO1
CACD,NSG2
ZNF219,PTHLH
FEV,FBXW2
GLI2,SLC37A3
ZFX,GGN
EGR1,TBCC
NFKB2,ICA1
ZNF281,PDE10A
CACBP,FAM181A
EBF1,USH1G
EGR,IGF2BP1
SP3,SNRPD2
REST,BSX
ESRRB,CCNG2
GRHL1,PTP4A1
FEV,GLTPD2
POU2F2,FABP7
HF1H3B,LARP1
ETS1,ZNF407
ELK1,MLYCD
MEF2A,OTX2
HNF1B,MYT1
FOXC2,PCDH20
GABPA,CC2D1A
DBX1,GAL3ST3
NFE2,SRPX2
NFY,PTPRK
POU5F1B,ST6GAL1
ELK1,LRP3
MAFG,FAM47E
POU4F3,CLEC7A
VAX1,RPS6KB1
POU3F4,DNAI1
NRF1,ZNF554
SP8,FOSL1
ZNF281,TMPRSS6
HF1H3B,BPGM
EGR1,CDK14
NOBOX,LRRC4C
KLF7,PARP3
ERG,PSMC3
NRF1,CD9
ETV6,MFSD10
FEV,WRAP53
POU4F3,MYBL1
RFX1,GALNT16
EN2,ROBO2
ALX1,B4GALT5
KLF16,MANEA
CDX1,SRPX2
NR4A2,GUCA1C
KLF13,CTDSP1
EHF,EYA3
ELK3,CDK13
REL,MAP3K8
ELK3,TAF1C
ELK3,TRO
PAX4,KCNS1
MEIS2,ZNF608
SP1,DHX9
SRF,SLC9A7
ETV5,SLC26A11
HSF1,BCL11B
ATF3,ZFP36L1
KLF4,GNB4
PKNOX2,LPAR5
EGR,TCF4
CREB3,OTOF
MYC,C4orf21
GABPA,OFD1
SP4,RRP7A
TFEB,UBE2Q1
EGR1,DMXL2
NFKB2,KCNQ3
KLF7,PNMA1
SOX9,CBFA2T2
MSX1,IRF2BPL
SP1,C2orf69
ERF,WDR5B
MAFK,KIAA0226L
SPIC,PMP22
HOXB13,DCP2
PPARG,VWCE
T,HBG2
ESRRA,XPO1
ZNF75A,SCG2
NR2F2,CASC5
ELF1,BPIFC
SP4,UBR3
ZEB1,EIF4E3
RFX5,MAP4K1
GABPA,GPANK1
NFYA,PIM2
ZBTB14,USP36
TFAP2A,FAM131B
KLF16,TIMMDC1
MYOD1,SLC17A7
NFKB,AP1AR
SP1,ISG20L2
EVX2,NEURL1B
SP1,CAMK2G
RFX3,KDM6B
LHX8,CXXC5
RARB,CREB1
CREB5,PEF1
NR4A2,SLC51B
ZNF652,KCNJ10
IKZF1,MSH4
KLF7,PARP11
ZBTB49,USP32
NR2F2,MAPKAPK2
IRF1,HS3ST1
TCF7L1,NUCB2
POU2F3,EPC1
SP4,CMC2
IRF,GRIK5
EGR1,SLC47A2
CPEB1,C7orf49
NKX6-3,NANS
DLX3,RPH3A
KLF12,EFCAB11
STAT3,MITD1
CREB1,SRRM5
SRY,RELN
MEIS2,BACE1
MAX,IGDCC3
RFX3,ZSWIM2
POU6F2,DCX
ELF1,RIMS3
EGR1,EIF3F
PRRX2,NBR1
NEUROG2,INSM1
NKX1-2,ANKRD46
MAF,DBNDD1
MSX2,SRPX
ERF,CRIPT
RARA,NFIB
HOXC11,RND1
FOXL1,ZNF385B
DOBOX5,PHC1
TCF7L2,ZHX2
KLF14,C10orf10
E2F3,DHX35
KLF7,SNRPN
SP8,RGL2
POU,C4orf26
FOXO1,SLITRK3
HERPUD1,EEF1G
SP1,IL24
RARA,RBM47
GSC2,SNCA
PBX1,SST
BACH2,MEPCE
GABPA,C22orf23
NKX6-1,WSB1
BHLHE41,ZNF292
AP1,LAT
CREB,NACC1
FOXD2,GPR107
BARX2,NR2F1
RARA,POU3F4
SP3,KL
ELK1,SEPT10
TCF3,TMEM62
MAFB,FAM65A
NKX2-1,FOXN3
POU1F1,GAB1
HOXA10,ERF
ITGB2,EML3
NHLH1,RPL30
SOX5,DPYSL2
ESR1,CITED2
ZFX,LMO4
GATA4,TNFAIP3
HOXB13,TNFSF11
HSF1,FBXW7
EGR4,ATP1B4
NKX3-1,RUNX1T1
GABPA,ZNF132
FOXA2,NR2F1
MEF2B,EMP1
NRF1,ACTR3
RAR,NHSL1
NFE2L2,ASAP1
TCF12,CACNG5
SP4,SPIN4
RARG,KLHL28
SP1,TMEM106C
HERPUD1,ILDR2
RFX4,MAGED4
TP53,CYCS
FOXD3,JAZF1
ELK1,RNF141
CACBP,HSD11B1L
TFAP2A,C6orf141
RFX5,PDAP1
NFE2,NXPH1
RUNX2,PHF6
KLF7,HTATSF1
KLF14,GSTM3
NRF1,PNMAL1
MEOX1,AC010441.1
NFYA,ECT2
GABP,ZCCHC7
SP8,RARA
GABP,CALR3
ESR2,MANEAL
ELF4,MBD1
KLF16,VWCE
RFX3,PTPRJ
SP3,KLF5
ATF3,CLIP2
NR2F6,NDUFV2
USF,RSPRY1
FOXD2,B2M
SOX,PCDHA13
SP1,EMP2
ATF4,CHAC1
RHOXF1,PENK
CREB3,AMOTL2
SP8,LAT
EGR1,ZBTB40
ELF3,MED15
CTCF,SGCE
SP1,CAPZA2
ETS,TMCC1
RFX2,KLHL7
SP8,GPRASP1
UNCX,PHF19
RXRB,HMOX1
EGR,NUFIP2
E2F4,FXYD6
SP1,SMIM15
TAL1,RPRM
ESR1,INHBA
POU4F2,TCF7L2
FOXO1,FRAT1
JDP2,SIDT2
EGR,RHOBTB3
GABPA,CHAMP1
E2F3,CS
HIC1,NAT16
TCF7,BRE
GBX2,CX3CR1
ATF4,ZAR1L
ETS,C4orf36
ETV4,VPS37C
HOXA5,SEC24D
ETS,TMEM204
RHOXF2,LIX1
SP1,ANO4
POU6F1,BCL11B
HF1H3B,BCL11A
STAT,C14orf159
POU2F1,KCNMA1
ESRRB,SSTR3
TCF4,MKL2
KLF4,GLYR1
NRF1,MON1A
RAX,RFTN2
HOXA2,CCNY
TBX20,TUBB4A
EHF,EIF3I
BARX1,CD1E
NRF1,ARHGAP28
NFIC,MAP2K3
KLF16,BCL2L2
ID4,ALX4
SRF,ZNF395
RUNX3,DTNA
POU3F1,OTUD1
MEF2D,ZNF385B
RXRB,TAOK3
TFEB,ID1
RFX3,RFC5
FOXP1,MEPE
RFX5,PCCA
STAT,CCNB2
SPIC,OGFRL1
IRF,OLFML3
PRRX1,NEUROG2
RUNX2,MAF
EVX1,SLC45A1
PRDM4,ACP2
NKX6-2,ATG4A
EGR2,SP2
FOXO3,ZNF804B
MEF2A,ABCA4
POU3F1,TOP2A
TCF21,SRSF12
ZBTB49,CNTF
EGR,VAV3
RARG,METTL7B
RFX1,PGAM1
EGR,CXXC5
EWSR1,TRIM14
RFX5,KLF4
HOXC11,TIFA
ELF2,CLTA
RXRG,PPP2R5B
SP1,RUNX1
IRF9,CTNND2
FOXA,IQCK
FLI1,EIF3D
CREB,MBIP
MEOX1,PCDHA3
TFEB,CCDC151
RFX2,CA12
MSX2,RHOBTB1
RREB1,ZIC2
AP1,SFXN2
SP3,C20orf195
WT1,CUX2
EN1,FOXQ1
SP1,METTL21B
ZFX,NARG2
TEF,PCDHA13
STAT6,CPA6
HOXA1,ANP32A
ELF4,CDCA5
RARG,BCL2L1
KLF12,XPO6
MAF,CHGB
NR2C2,SOX13
NR1H4,CELF4
SRF,CLMP
SP4,REPS1
ELF1,EIF2B2
NR2E1,RBM15
NFAT,SST
GFI1,PI15
KLF7,COL6A3
ETS2,UBL3
EGR4,DSTYK
ELF5,PC
CUX1,GAS7
FOXB1,PAG1
ETS,LSM6
ERF,P2RX7
ETV3,MAN2B2
POU3F4,DFFB
KLF16,EIF5A
GBX2,FOXRED2
ZIC3,SLC10A4
NR2F6,RBM15
SP8,EIF4B
ZNF524,CHST1
ONECUT1,ATP6V1A
RHOXF2,ZIC2
FOXC2,HIVEP3
AP1,FGFR3
MAFB,CEP120
KLF16,PIM1
MEF2A,AP2A1
JDP2,UBE4A
CREB3L2,TVP23B
HSF1,CCDC40
ETV5,RRP12
RUNX2,CDK1
TFAP2B,NCOA5
FOXO4,ADCY6
BATF3,AP2B1
ETV3,COPA
NKX6-2,C20orf194
ZFX,SSTR3
NFYA,HIST1H2AA
ARNTL,JPH1
JDP2,ACOX3
FLI1,LAMP5
ZNF281,CPLX2
SP8,NRARP
HLX,AKAP6
POU3F3,RFTN1
EBOX,GCLC
ETV3,ARCN1
SP4,TCF12
HES7,NCSTN
SPI1,PRKAG2
FLI1,OTX2
NFE2,HRASLS
FOXJ2,CLASP2
ZNF281,TFR2
ELF1,ATP7A
RFX2,TTLL5
HAND1,SLC34A3
AR,ATP10B
RREB1,TEKT2
HF1H3B,KSR2
FOXD3,MSH5
SP3,PRTFDC1
HIC1,KCNIP1
EGR2,NCAPH2
ELF1,SBNO2
BACH2,EPAS1
POU2F2,ENTPD1
ELK1,SCOC
SP4,PLEKHA6
PHOX2B,GDF5
ESRRB,MPLKIP
ELK1,DLEU7
NRF1,SELT
ALX1,TBKBP1
PPARG,MREG
POU2F2,HOXA3
HNF4,PPP1R3F
ETV6,SF3A2
SP1,GNA12
KLF4,HMGB1
ELK1,ELP5
HOXB5,SLC1A3
RAX,FAM117B
POU,NOL9
LHX3,CORO2B
EGR,NELL1
SP1,CHRNA2
LHX9,MPHOSPH6
KLF4,C20orf27
POU4F3,REPS1
ATF1,NFX1
NR5A1,USP6NL
ERG,PTK2B
RFX2,ENPP6
GTF2I,LYN
ISL2,GPAM
STAT6,CCNG2
DLX3,MAST4
SPI1,ZNF177
CACD,CLIC1
EGR,KLHL7
E2F1,BMI1
LHX6,SPATA5
ETV6,CPEB4
PRRX2,BCL11B
HSF1,DHX8
MSX2,CAPSL
GABPA,C19orf55
RFX4,PTGES3L-AARSD1
ONECUT1,FBN2
TEAD1,KCNA6
DBX2,BACH2
SP1,PTEN
SP1,SLC7A14
CACD,RHOBTB2
IRF9,NME7
IRF9,AKT3
TCF4,ITGB7
REST,KCNAB2
HMX3,EDIL3
HOXA10,AC010441.1
GBX2,PDGFC
GABPA,LARP4B
CREB1,SDC1
ATF6,SLC22A17
ELF1,AKIRIN2
TLX2,ANXA1
OTX2,NAV2
MSX1,RND3
SRF,OPALIN
CTCF,PPP1R12A
HNF1,DEDD2
POU3F1,ATP1B2
SP3,CNOT6
RFX4,BRMS1
ELF4,CWC15
GABP,SART3
SP1,ALG11
EBF1,ZNF576
NR2F1,EVA1A
KLF16,PPP1R11
ELF1,LY6G6D
SPDEF,ZNF512
EHF,NEDD8-MDP1
RXRA,CHMP4B
HOXA6,LPAR4
ZIC2,TRERF1
SOX7,SLC39A12
AP1,ZBTB1
ELF2,SGOL2
TBX4,FAM19A2
GTF2I,NDST4
ETV5,C9orf64
NOBOX,TSPAN12
FOXO4,PLEKHA3
SP4,PRMT8
HOXA1,TCEANC
KLF14,DMRTA1
RFX4,TAF4
DLX6,FAM46A
KLF7,DERA
FOXJ2,MED28
IRF,ADNP2
FEV,FIS1
KLF13,EMP3
RFX1,IQGAP1
SP3,FNBP1L
GATA1,ADCY5
MEF2A,IDH3G
FOXJ1,SUSD2
NR4A2,GPR75
MSX2,TMEM126A
OTP,FAM76B
ISX,PCDHGC5
POU6F2,ZFP37
ELK1,NDRG3
FLI1,DNMT3A
JDP2,NXPH1
ALX1,TAC1
NR2F1,DNAJC16
SP1,FCGRT
ETV3,WDR44
LHX1,NBN
GLI2,BBS4
RXRB,MRPL11
ZFX,KDM2B
BARHL2,CDH20
SP8,SLC8A2
ETV4,FGGY
ESRRA,SLC4A3
SP1,SDK1
CEBPG,FAM185A
RARG,PPP1R13B
SP4,CA12
EGR4,LRIF1
RARG,CCDC64
ESRRB,RUNX1T1
POU2F2,BST2
HNF4,PKP2
POU5F1,SEZ6
HOXA9,TBC1D7
NKX2-1,SLC39A13
EBOX,RARG
KLF16,OPTN
USF1,GBGT1
E2F1,PDE4B
ATF7,PHLDB2
SP1,IGLL1
FLI1,GP9
NKX2-8,HUWE1
GATA1,MAP6
MSX2,HS3ST3A1
NFIB,SUB1
SP1,KCNA1
CRX,CDC7
RFX2,PEX11A
IRF2,MYCBP2
ETV6,MARCKS
MEIS2,ANKUB1
TFAP2E,ARID5B
FOXO1,SLC12A6
GBX2,TRAF3IP2
POU3F4,KRT222
PPARG,RASGEF1A
UNCX,SLC35C1
ZBTB14,REV1
XBP1,TUBB2A
ZNF219,EIF4G1
ELF1,PPIH
KLF12,STRA6
ATF1,FAM220A
DLX2,LRRTM4
GSX1,HHIPL1
KLF14,PCDHA11
SREBF1,GLA
MYOD1,ST7L
SREBF2,PREX1
DLX3,TPGS1
BHLHE40,KLHL12
ZNF143,SORBS1
TFCP2,CRHR1
SP3,HDAC11
SPIB,CDKN1A
SMAD,HMBS
SP4,YES1
EWSR1,FREM1
SP3,WDYHV1
TCF21,PRRX1
SOX1,LDLRAD4
PHOX2B,AFP
ELF1,HSP90AA1
RUNX,ADAMTS17
ZEB1,C14orf180
YY1,TXNL4B
LMO2,EFCAB11
ELK4,PHB2
HOXB3,SV2C
EGR1,KCNQ2
DMBX1,TCF4
IRF,RASA2
POU3F2,SPTLC2
GBX2,SYTL2
HOXA5,FAM120C
STAT3,MOB3C
MSX2,FOXRED2
RARG,RDH5
SPIB,FCGR2A
ETV6,BRAP
TCF3,C11orf87
POU3F3,TSPAN13
ZBTB14,ZNF213
SP3,RAB28
OBOX2,RNF11
TFAP2A,NR4A2
NFIB,FMO1
KLF7,SMIM14
EGR,CHD4
ATF4,TMTC4
ZBTB14,TCEA3
POU3F2,NFIA
RXRB,NOL3
NR2F6,DNAJB14
CREB1,SUV39H2
KLF7,SPTBN2
YY2,TTC17
BHLHE41,CDKL3
ZIC3,NRN1
NKX2-3,SCARB2
HOXA3,DDX23
MAFF,RGS4
TAL1,NHSL2
RFX1,ZDHHC23
NFY,RFX2
BHLHE22,KHDC1
TBP,HIST1H1E
ETS1,EED
